时间,股票代码(IH1601),前收(20160107)(IH1601),开盘价(IH1601),最高价(IH1601),最低价(IH1601),收盘价(IH1601),昨收(IH1601),跌停价(20160107)(IH1601),涨停价(20160107)(IH1601),成交量(IH1601),成交金额(IH1601),持仓量(IH1601),结算价(IH1601),前结算价(IH1601),卖一价(IH1601),卖二价(IH1601),卖三价(IH1601),卖四价(IH1601),卖五价(IH1601),买一价(IH1601),买二价(IH1601),买三价(IH1601),买四价(IH1601),买五价(IH1601),卖一量(IH1601),卖二量(IH1601),卖三量(IH1601),卖四量(IH1601),卖五量(IH1601),买一量(IH1601),买二量(IH1601),买三量(IH1601),买四量(IH1601),买五量(IH1601)
2016-01-07 09:58:49,IH1601,2288,2145.8,2145.8,2145.8,2145.8,2145.8,2130,2450.8,0,0,0,0,2290.4,2149,0,0,0,0,2148,0,0,0,0,4,0,0,0,0,1,0,0,0,0
2016-01-07 09:58:49,IH1601,2288,2145.8,2145.8,2145.8,2145.8,2145.8,2130,2450.8,0,0,0,0,2290.4,2149,0,0,0,0,2148,0,0,0,0,4,0,0,0,0,1,0,0,0,0
2016-01-07 09:58:50,IH1601,2288,2145.8,2145.8,2145.8,2145.8,2145.8,2130,2450.8,0,0,0,0,2290.4,2149,0,0,0,0,2148,0,0,0,0,4,0,0,0,0,1,0,0,0,0
2016-01-07 09:58:50,IH1601,2288,2145.8,2145.8,2145.8,2145.8,2145.8,2130,2450.8,0,0,0,0,2290.4,2149,0,0,0,0,2148,0,0,0,0,4,0,0,0,0,1,0,0,0,0
2016-01-07 09:58:51,IH1601,2288,2145.8,2145.8,2145.8,2145.8,2145.8,2130,2450.8,0,0,0,0,2290.4,2149,0,0,0,0,2148,0,0,0,0,4,0,0,0,0,1,0,0,0,0
2016-01-07 09:58:51,IH1601,2288,2145.8,2145.8,2145.8,2145.8,2145.8,2130,2450.8,0,0,0,0,2290.4,2149,0,0,0,0,2148,0,0,0,0,4,0,0,0,0,1,0,0,0,0
2016-01-07 09:58:52,IH1601,2288,2145.8,2145.8,2145.8,2145.8,2145.8,2130,2450.8,0,0,0,0,2290.4,2149,0,0,0,0,2148,0,0,0,0,4,0,0,0,0,1,0,0,0,0
2016-01-07 09:58:52,IH1601,2288,2145.8,2145.8,2145.8,2145.8,2145.8,2130,2450.8,0,0,0,0,2290.4,2149,0,0,0,0,2148,0,0,0,0,4,0,0,0,0,1,0,0,0,0
2016-01-07 09:58:53,IH1601,2288,2145.8,2145.8,2145.8,2145.8,2145.8,2130,2450.8,0,0,0,0,2290.4,2149,0,0,0,0,2148,0,0,0,0,4,0,0,0,0,1,0,0,0,0
2016-01-07 09:58:53,IH1601,2288,2145.8,2145.8,2145.8,2145.8,2145.8,2130,2450.8,0,0,0,0,2290.4,2149,0,0,0,0,2148,0,0,0,0,4,0,0,0,0,1,0,0,0,0
2016-01-07 09:58:54,IH1601,2288,2145.8,2145.8,2145.8,2145.8,2145.8,2130,2450.8,0,0,0,0,2290.4,2149,0,0,0,0,2148,0,0,0,0,4,0,0,0,0,1,0,0,0,0
2016-01-07 09:58:54,IH1601,2288,2145.8,2145.8,2145.8,2145.8,2145.8,2130,2450.8,0,0,0,0,2290.4,2149,0,0,0,0,2148,0,0,0,0,4,0,0,0,0,1,0,0,0,0
2016-01-07 09:58:55,IH1601,2288,2145.8,2145.8,2145.8,2145.8,2145.8,2130,2450.8,0,0,0,0,2290.4,2149,0,0,0,0,2148,0,0,0,0,4,0,0,0,0,1,0,0,0,0
2016-01-07 09:58:55,IH1601,2288,2145.8,2145.8,2145.8,2145.8,2145.8,2130,2450.8,0,0,0,0,2290.4,2149,0,0,0,0,2148,0,0,0,0,4,0,0,0,0,1,0,0,0,0
2016-01-07 09:58:56,IH1601,2288,2145.8,2145.8,2145.8,2145.8,2145.8,2130,2450.8,0,0,0,0,2290.4,2149,0,0,0,0,2148,0,0,0,0,4,0,0,0,0,1,0,0,0,0
2016-01-07 09:58:56,IH1601,2288,2145.8,2145.8,2145.8,2145.8,2145.8,2130,2450.8,0,0,0,0,2290.4,2149,0,0,0,0,2148,0,0,0,0,4,0,0,0,0,1,0,0,0,0
2016-01-07 09:58:57,IH1601,2288,2145.8,2145.8,2145.8,2145.8,2145.8,2130,2450.8,0,0,0,0,2290.4,2149,0,0,0,0,2148,0,0,0,0,4,0,0,0,0,1,0,0,0,0
2016-01-07 09:58:57,IH1601,2288,2145.8,2145.8,2145.8,2145.8,2145.8,2130,2450.8,0,0,0,0,2290.4,2149,0,0,0,0,2148,0,0,0,0,4,0,0,0,0,1,0,0,0,0
2016-01-07 09:58:58,IH1601,2288,2145.8,2145.8,2145.8,2145.8,2145.8,2130,2450.8,0,0,0,0,2290.4,2149,0,0,0,0,2148,0,0,0,0,4,0,0,0,0,1,0,0,0,0
2016-01-07 09:58:58,IH1601,2288,2145.8,2145.8,2145.8,2145.8,2145.8,2130,2450.8,0,0,0,0,2290.4,2149,0,0,0,0,2148,0,0,0,0,4,0,0,0,0,1,0,0,0,0
2016-01-07 09:58:59,IH1601,2288,2145.8,2145.8,2145.8,2145.8,2145.8,2130,2450.8,0,0,0,0,2290.4,2149,0,0,0,0,2148,0,0,0,0,4,0,0,0,0,1,0,0,0,0
