StochLen1,StochLen2,SmoothingLen1,SmoothingLen2,weight,累计收益率,Sharpe,年化收益,盈亏比,最大日收益率,最大日亏损率,最大回撤,MAR
9,9,18,8,0.8,1.359517266999994,1.6388585770672968,0.31344771389203885,1.2818927089414773,0.09617095999999979,-0.050361884999999974,0.17577141175784727,1.7832690239972715
9,46,13,18,0.8,1.3383226079999924,1.6197048694889407,0.3085611136468418,1.2813821970909691,0.09644284899999978,-0.05165939299999983,0.1764645780905424,1.7485725293181607
9,9,8,18,0.2,1.359517266999994,1.6388585770672968,0.31344771389203885,1.2818927089414773,0.09617095999999979,-0.050361884999999974,0.17577141175784727,1.7832690239972715
9,9,8,18,0.4,1.3967765809999975,1.6814135345403953,0.32203815042268924,1.307198025365307,0.09098806399999985,-0.049707793000000104,0.16908974526986764,1.9045398046387472
9,9,18,13,0.2,1.422389090999995,1.7226438714002117,0.32794332198719006,1.2752905307026907,0.09096292999999976,-0.045683632,0.1692102071398972,1.9380823859878484
9,34,13,13,0.8,1.3073020619999918,1.5820845720577121,0.3014090755937767,1.2766590693824678,0.0951484909999998,-0.050204876000000065,0.17915100842940146,1.6824302482927627
9,9,13,13,0.2,1.4382050149999963,1.7424042471906742,0.33158981132662313,1.2741140081416598,0.08863510299999978,-0.044418508000000044,0.1662175893069905,1.99491409248033
9,72,13,18,0.8,1.2993855899999947,1.5817225003385194,0.29958386887465566,1.2751024017005217,0.09533611899999976,-0.052918902999999816,0.17145366760610226,1.7473167710994657
9,46,13,13,0.8,1.3561969069999926,1.6420673890649164,0.31268217800914744,1.295482736437894,0.09513865099999978,-0.05101730299999996,0.17799823195789377,1.7566588980676714
9,9,13,18,0.2,1.3154554679999957,1.5828506240672207,0.3032889093650493,1.2710522909171926,0.09906126599999975,-0.04947788299999996,0.1721660314151091,1.7616071351136053
9,46,13,8,0.8,1.3799250469999924,1.6736944717838056,0.3181528928124411,1.2822460793269732,0.09197545799999979,-0.05033935400000023,0.1768033218232261,1.7994735027124718
5,9,18,18,0.2,1.2823476479999938,1.5460200999887832,0.2956556333906665,1.2673307372696392,0.10346739599999981,-0.05295359199999991,0.17696505572862875,1.670700648630013
9,9,18,13,0.8,1.3154554679999957,1.5828506240672207,0.3032889093650493,1.2710522909171926,0.09906126599999975,-0.04947788299999996,0.1721660314151091,1.7616071351136053
9,72,13,13,0.8,1.314977697999995,1.6013647788366148,0.3031787556230547,1.2654245837057654,0.09467078299999976,-0.052114927999999804,0.17605091041256016,1.7221084225726602
9,9,18,8,0.6,1.3967765809999975,1.6814135345403953,0.32203815042268924,1.307198025365307,0.09098806399999985,-0.049707793000000104,0.16908974526986764,1.9045398046387472
9,9,18,13,0.4,1.3960794369999947,1.6886098359062298,0.32187741822872706,1.2552579366266463,0.09358752499999973,-0.04693915999999997,0.17036356259569074,1.889355994465854
9,72,13,8,0.8,1.3270302659999942,1.6155243087794127,0.305957572764866,1.2908495987158288,0.09228970899999978,-0.051566821999999894,0.17800975547549103,1.718768569439394
9,9,13,18,0.4,1.3652843199999949,1.6476200774969334,0.3147773546569064,1.2660281739847465,0.09720625299999973,-0.048372939999999975,0.1717053178374618,1.8332417342768512
9,9,18,13,0.6,1.3652843199999949,1.6476200774969334,0.3147773546569064,1.2660281739847465,0.09720625299999973,-0.048372939999999975,0.1717053178374618,1.8332417342768512
9,18,13,18,0.8,1.3413495129999937,1.6143182287462212,0.30925899110338373,1.292011739087003,0.09695610599999978,-0.050204806000000005,0.1870977676836445,1.6529272098333976
9,9,13,18,0.8,1.422389090999995,1.7226438714002117,0.32794332198719006,1.2752905307026907,0.09096292999999976,-0.045683632,0.1692102071398972,1.9380823859878484
9,89,13,3,0.8,1.3247269469999932,1.61265871779046,0.3054265239194861,1.2823173884989953,0.09365034899999979,-0.0526896590000002,0.18069906368982025,1.6902496210150115
9,89,13,8,0.8,1.3356771009999937,1.6289664151196699,0.30795117058737276,1.2959343465116753,0.09333767999999981,-0.05338818400000017,0.17934562989730318,1.7170820987593154
9,89,13,13,0.8,1.319914411999994,1.6085719714961844,0.3043169550082328,1.2640828578059495,0.09570186499999979,-0.05425754400000011,0.17885192123656812,1.7015022981257863
9,9,13,18,0.6,1.3960794369999947,1.6886098359062298,0.32187741822872706,1.2552579366266463,0.09358752499999973,-0.04693915999999997,0.17036356259569074,1.889355994465854
9,89,13,18,0.8,1.3038184339999956,1.5878959548477949,0.30060589695150863,1.2782709874272782,0.09720357499999979,-0.055102671000000096,0.17998568714001273,1.670165565541132
StochLen1,StochLen2,SmoothingLen1,SmoothingLen2,weight,累计收益率,Sharpe,年化收益,盈亏比,最大日收益率,最大日亏损率,最大回撤,MAR
9,9,18,8,0.8,1.359517266999994,1.6388585770672968,0.31344771389203885,1.2818927089414773,0.09617095999999979,-0.050361884999999974,0.17577141175784727,1.7832690239972715
9,46,13,18,0.8,1.3383226079999924,1.6197048694889407,0.3085611136468418,1.2813821970909691,0.09644284899999978,-0.05165939299999983,0.1764645780905424,1.7485725293181607
9,9,8,18,0.2,1.359517266999994,1.6388585770672968,0.31344771389203885,1.2818927089414773,0.09617095999999979,-0.050361884999999974,0.17577141175784727,1.7832690239972715
9,9,8,18,0.4,1.3967765809999975,1.6814135345403953,0.32203815042268924,1.307198025365307,0.09098806399999985,-0.049707793000000104,0.16908974526986764,1.9045398046387472
9,9,18,13,0.2,1.422389090999995,1.7226438714002117,0.32794332198719006,1.2752905307026907,0.09096292999999976,-0.045683632,0.1692102071398972,1.9380823859878484
9,34,13,13,0.8,1.3073020619999918,1.5820845720577121,0.3014090755937767,1.2766590693824678,0.0951484909999998,-0.050204876000000065,0.17915100842940146,1.6824302482927627
9,9,13,13,0.2,1.4382050149999963,1.7424042471906742,0.33158981132662313,1.2741140081416598,0.08863510299999978,-0.044418508000000044,0.1662175893069905,1.99491409248033
9,72,13,18,0.8,1.2993855899999947,1.5817225003385194,0.29958386887465566,1.2751024017005217,0.09533611899999976,-0.052918902999999816,0.17145366760610226,1.7473167710994657
9,46,13,13,0.8,1.3561969069999926,1.6420673890649164,0.31268217800914744,1.295482736437894,0.09513865099999978,-0.05101730299999996,0.17799823195789377,1.7566588980676714
9,9,13,18,0.2,1.3154554679999957,1.5828506240672207,0.3032889093650493,1.2710522909171926,0.09906126599999975,-0.04947788299999996,0.1721660314151091,1.7616071351136053
9,46,13,8,0.8,1.3799250469999924,1.6736944717838056,0.3181528928124411,1.2822460793269732,0.09197545799999979,-0.05033935400000023,0.1768033218232261,1.7994735027124718
5,9,18,18,0.2,1.2823476479999938,1.5460200999887832,0.2956556333906665,1.2673307372696392,0.10346739599999981,-0.05295359199999991,0.17696505572862875,1.670700648630013
9,9,18,13,0.8,1.3154554679999957,1.5828506240672207,0.3032889093650493,1.2710522909171926,0.09906126599999975,-0.04947788299999996,0.1721660314151091,1.7616071351136053
9,72,13,13,0.8,1.314977697999995,1.6013647788366148,0.3031787556230547,1.2654245837057654,0.09467078299999976,-0.052114927999999804,0.17605091041256016,1.7221084225726602
9,9,18,8,0.6,1.3967765809999975,1.6814135345403953,0.32203815042268924,1.307198025365307,0.09098806399999985,-0.049707793000000104,0.16908974526986764,1.9045398046387472
9,9,18,13,0.4,1.3960794369999947,1.6886098359062298,0.32187741822872706,1.2552579366266463,0.09358752499999973,-0.04693915999999997,0.17036356259569074,1.889355994465854
9,72,13,8,0.8,1.3270302659999942,1.6155243087794127,0.305957572764866,1.2908495987158288,0.09228970899999978,-0.051566821999999894,0.17800975547549103,1.718768569439394
9,9,13,18,0.4,1.3652843199999949,1.6476200774969334,0.3147773546569064,1.2660281739847465,0.09720625299999973,-0.048372939999999975,0.1717053178374618,1.8332417342768512
9,9,18,13,0.6,1.3652843199999949,1.6476200774969334,0.3147773546569064,1.2660281739847465,0.09720625299999973,-0.048372939999999975,0.1717053178374618,1.8332417342768512
9,18,13,18,0.8,1.3413495129999937,1.6143182287462212,0.30925899110338373,1.292011739087003,0.09695610599999978,-0.050204806000000005,0.1870977676836445,1.6529272098333976
9,9,13,18,0.8,1.422389090999995,1.7226438714002117,0.32794332198719006,1.2752905307026907,0.09096292999999976,-0.045683632,0.1692102071398972,1.9380823859878484
9,89,13,3,0.8,1.3247269469999932,1.61265871779046,0.3054265239194861,1.2823173884989953,0.09365034899999979,-0.0526896590000002,0.18069906368982025,1.6902496210150115
9,89,13,8,0.8,1.3356771009999937,1.6289664151196699,0.30795117058737276,1.2959343465116753,0.09333767999999981,-0.05338818400000017,0.17934562989730318,1.7170820987593154
9,89,13,13,0.8,1.319914411999994,1.6085719714961844,0.3043169550082328,1.2640828578059495,0.09570186499999979,-0.05425754400000011,0.17885192123656812,1.7015022981257863
9,9,13,18,0.6,1.3960794369999947,1.6886098359062298,0.32187741822872706,1.2552579366266463,0.09358752499999973,-0.04693915999999997,0.17036356259569074,1.889355994465854
9,89,13,18,0.8,1.3038184339999956,1.5878959548477949,0.30060589695150863,1.2782709874272782,0.09720357499999979,-0.055102671000000096,0.17998568714001273,1.670165565541132
