StochLen1,StochLen2,SmoothingLen1,SmoothingLen2,weight
72,89,18,18,0.6
72,89,18,18,0.2
72,89,18,13,0.8
72,89,18,13,0.6
25,72,18,18,0.4
25,72,18,18,0.2
72,89,13,18,0.2
72,72,18,18,0.2
72,72,18,13,0.8
72,72,18,13,0.6
46,72,18,18,0.2
72,72,13,18,0.4
72,72,13,18,0.2
18,72,18,18,0.2
72,89,18,18,0.4
72,89,18,18,0.8
89,89,18,13,0.6
89,89,18,13,0.8
89,89,18,18,0.2
89,89,13,18,0.2
89,89,13,18,0.4
34,72,18,18,0.2
