StochLen1,StochLen2,SmoothingLen1,SmoothingLen2,weight,累计收益率,Sharpe,年化收益,盈亏比,最大日收益率,最大日亏损率,最大回撤,MAR
72,89,18,18,0.6,0.3222758539999986,0.453245511082071,0.07430330760109757,1.1718194137366131,0.0813182680000002,-0.05117636000000026,0.5138729186027501,0.14459471381199174
72,89,18,18,0.2,0.31551736599999947,0.44390817583076897,0.0727450834693503,1.1827202046587966,0.0809722420000002,-0.05111599100000024,0.4740343576796211,0.1534595167857337
72,89,18,13,0.8,0.3056220539999992,0.4283411973850137,0.07046363916559908,1.1751384294690947,0.0814538420000002,-0.050852250000000265,0.5466776173501264,0.12889431893544998
72,89,18,13,0.6,0.26138870199999875,0.3663794672776375,0.0602652817053977,1.1705157609785635,0.08139194200000019,-0.05093176600000026,0.5617456827978512,0.10728214484041644
25,72,18,18,0.4,0.23130925399999902,0.3137064457457034,0.053330221416285226,1.210172637657448,0.08331878200000022,-0.04609780200000025,0.5161998263190071,0.10331313320382174
25,72,18,18,0.2,0.2883712349999994,0.3971801141919386,0.06648632316559913,1.1880053032885673,0.08272574700000018,-0.048748935000000285,0.5321740161570292,0.12493342618588303
72,89,13,18,0.2,0.28678176699999947,0.40227239498090256,0.06611985844830728,1.1652008344408675,0.0811134510000002,-0.051136604000000245,0.4996369911331351,0.13233579503061402
72,72,18,18,0.2,0.354221364999999,0.4968399625445163,0.08166860382433647,1.1746330625648684,0.08189185300000018,-0.05037572200000025,0.5194707890237078,0.15721500717648484
72,72,18,13,0.8,0.3208799029999998,0.4491436691071821,0.07398145979505942,1.1904393909863327,0.08187998600000018,-0.04968940400000026,0.5443453749777644,0.1359090445070493
72,72,18,13,0.6,0.28927022800000013,0.40403326707880555,0.06669359328087834,1.1893543354604488,0.0818416950000002,-0.04903462300000029,0.5702916587441169,0.11694646459979693
46,72,18,18,0.2,0.3253704629999996,0.4527516261504359,0.07501679476303742,1.187177232052974,0.08219856400000018,-0.04974294500000025,0.5334318470117823,0.14063051387590003
72,72,13,18,0.4,0.28927022800000013,0.40403326707880555,0.06669359328087834,1.1893543354604488,0.0818416950000002,-0.04903462300000029,0.5702916587441169,0.11694646459979693
72,72,13,18,0.2,0.3208799029999998,0.4491436691071821,0.07398145979505942,1.1904393909863327,0.08187998600000018,-0.04968940400000026,0.5443453749777644,0.1359090445070493
18,72,18,18,0.2,0.29033442599999937,0.3988412931670242,0.06693895274656893,1.2148849297863837,0.0826960020000002,-0.048394312000000266,0.551797565272212,0.12131070696831853
72,89,18,18,0.4,0.31457464399999857,0.44257954276822914,0.07252773127904816,1.1825548351229238,0.08131983800000021,-0.051399153000000246,0.49869887734642726,0.1454339172868558
72,89,18,18,0.8,0.33786520199999925,0.474376778209442,0.07789755800914896,1.1549503990844947,0.0815737430000002,-0.05090540500000025,0.5214017434747422,0.1494002637774503
89,89,18,13,0.6,0.2628090759999999,0.3679526380704711,0.060592760431838956,1.1924573400437284,0.08076129600000018,-0.05094118200000026,0.4927151374844623,0.1229772658116268
89,89,18,13,0.8,0.28951959499999913,0.40604646221893537,0.06675108686184793,1.178831115159406,0.0808714860000002,-0.05100530300000025,0.4695962503800698,0.1421456981562835
89,89,18,18,0.2,0.31800360499999925,0.44666177176682537,0.07331830600182965,1.1875963656200796,0.0808474430000002,-0.051039939000000235,0.4523013007557206,0.16210058622278312
89,89,13,18,0.2,0.28951959499999913,0.40604646221893537,0.06675108686184793,1.178831115159406,0.0808714860000002,-0.05100530300000025,0.4695962503800698,0.1421456981562835
89,89,13,18,0.4,0.2628090759999999,0.3679526380704711,0.060592760431838956,1.1924573400437284,0.08076129600000018,-0.05094118200000026,0.4927151374844623,0.1229772658116268
34,72,18,18,0.2,0.289677363,0.40244368713810263,0.0667874615516926,1.1891084426809537,0.08256916700000018,-0.05010045400000026,0.5316856074595523,0.1256145748815919
