StochLen1,StochLen2,SmoothingLen1,SmoothingLen2,weight,counts
72,89,18,18,0.6,3
72,89,18,18,0.2,3
72,89,18,13,0.8,3
72,89,18,13,0.6,3
25,72,18,18,0.4,3
25,72,18,18,0.2,3
46,46,18,18,0.2,3
72,89,13,18,0.2,3
72,72,18,18,0.2,3
72,72,18,13,0.8,3
72,72,18,13,0.6,3
46,72,18,18,0.2,3
46,72,18,18,0.8,3
72,72,13,18,0.4,3
72,72,13,18,0.2,3
18,72,18,18,0.2,3
46,89,18,18,0.8,3
72,89,18,18,0.4,3
72,89,18,18,0.8,3
89,89,18,13,0.6,3
89,89,18,13,0.8,3
89,89,18,18,0.2,3
34,72,18,18,0.4,3
89,89,13,18,0.2,3
89,89,13,18,0.4,3
34,72,18,18,0.2,3
